นิติบุคคลจัดตั้งเดือนมกราคม  2558,,,,,,
ทั่วประเทศ,,,,,,
ที่,เลขทะเบียน,ชื่อนิติบุคคล,วันที่จดทะเบียน," ทุนจดทะเบียน
 (บาท) ",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่
649,0105558003285,บจ.ฟอร์ฟิล์ม จำกัด,8/1/2558," 1,000,000 ",ประกอบกิจการให้บริการจัดทำและจัดจำหน่ายภาพยนตร์,98/178 ซอยรามคำแหง 39 (เทพลีลา 1)  แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310
650,0105558003374,บจ.ทิพย์ธนา แมนชั่น จำกัด,9/1/2558," 1,000,000 ",ประกอบกิจการให้เช่าห้องพัก ห้องสำนักงาน ห้องร้านค้า และเครื่องใช้ไฟฟ้าและอุปกรณ์แบบรายเดือนและรายวัน,34 อาคารทิพย์ธนาแมนชั่น ซอยลาดพร้าว 96 ถนนลาดพร้าว  แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310
651,0105558003749,บจ.บี เอส จี อินเตอร์ กรุ๊ป จำกัด,9/1/2558," 1,000,000 ",การรับเช่า ให้เช่า ผลิตหรือสร้าง พระเครื่อง วุตถุมงคล เครื่องรางของขลัง เครื่องรางมหาเสน่ห์,332/351 ถนนรัชดาภิเษก  แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร 10310
652,0105558004516,บจ.วิน คอลเลคชั่น จำกัด,9/1/2558," 1,000,000 ",ให้บริการบริหารหนี้,1768 อาคารไทยซัมมิท ชั้นที่ 5 ถนนเพชรบุรีตัดใหม่  แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310
653,0105558004672,บจ.เฮลธ์เซ็นเตอร์ จำกัด,9/1/2558," 1,000,000 ",การขายส่งสินค้าทางเภสัชภัณฑ์และทางการแพทย์ การขายส่งสินค้าทางเภสัชภัณฑ์ ทั้งชนิดเคมีภัณฑ์ และสมุนไพร,14 ซอยลาดพร้าว 38  แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร 10310
654,0105558004800,บจ.ทีดับบลิวซันไรส์ทราเวล จำกัด,12/1/2558," 1,000,000 ",ประกอบกิจการดำเนินงานการจัดหาข้อมูลการเดินทาง เป็นตัวแทนจัดการการเดินทางท่องเที่ยว,2437 ถนนลาดพร้าว  แขวงสะพานสอง เขตวังทองหลาง กรุงเทพมหานคร 10310
655,0105558004958,บจ.บิซสิเนส อิมโพรไวเซชั่น จำกัด,12/1/2558," 1,000,000 ",การรับเป็นที่ปรึกษา ให้คำแนะนำ ฝึกอบรมทางธุรกิจทุกประเภท,184/231 อาคารฟอรั่ม ถนนรัชดาภิเษก  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310
656,0105558004966,บจ.มัลไท ไซเอนซ์ จำกัด,12/1/2558," 1,000,000 ",ประกอบกิจการเครื่องสำอาง ผลิตภัณฑ์เสริมความงามและอาหารเสริมทุกประเภท,184/231 อาคารฟอรั่ม ถนนรัชดาภิเษก  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310
657,0105558005628,บจ.วิลลดา วีพี (ประเทศไทย) จำกัด,12/1/2558," 1,000,000 ",ประกอบกิจการผลิตภัณฑ์ที่แปรรูปอื่นๆ ที่ทำจากกระดาษ,133 ซอยอุดมสุข  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310
658,0105558006110,บจ.สมาร์ท ซัคเซส ซิสเต็ม จำกัด,13/1/2558," 1,000,000 ",ประกอบกิจการค้า แอพพลิเคชั่นผ่านทางอินเตอร์เน็ต,326 ซอยลาดพร้าว 64 แยก 4  แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพมหานคร 10310
659,0105558006951,บจ.คิวอิค เดคคอร์ จำกัด,14/1/2558," 1,000,000 ",ประกอบกิจการรับเหมาก่อสร้าง,338/416 ซอยลาดพร้าว 87 (จันทราสุข)  แขวงคลองเจ้าคุณสิงห์ เขตวังทองหลาง กรุงเทพมหานคร 10310
660,0105558007167,บจ.พรอมิส ลอว์ จำกัด,14/1/2558," 1,000,000 ",ประกอบกิจการทางด้านกฎหมายทางด้านบัญชีทางวิศวกรรมทางสถาปัตยกรรม,280/50 ซอยลาดพร้าว 87 แยก 6 ถนนลาดพร้าว  แขวงคลองเจ้าคุณสิงห์ เขตวังทองหลาง กรุงเทพมหานคร 10310
661,0105558007370,บจ.สมาร์ท ไซเอนซ์ จำกัด,15/1/2558," 1,000,000 ",ค้าอาหารเพื่อสุขภาพ อาหารที่สกัดในรูปผงสำเร็จรูป ไข่ขาวผง เวย์โปรตีน ค้านำเข้าสารเคมี(ในกระบวนอาหาร),585/15 ชั้น 3 ปรัชญาเพลซ2 คอนโดมิเนียม ซอย20มิถุนา11 ถนนรัชดาภิเษก 18  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310
662,0105558007876,บจ.อะลีบาบา กรุ๊ป โฮลดิ้ง จำกัด,15/1/2558," 1,000,000 ",ประกอบกิจการ นำเที่ยวทั้งในและต่างประเทศ,240/26 อาคารอโยธยา ชั้นที่ 16 ห้องเลขที่ 26 ถนนรัชดาภิเษก  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310
663,0105558007990,บจ.แองเจิล เรียล เอสเตท คอนซัลแทนซี่ จำกัด,15/1/2558," 1,000,000 ",ประกอบกิจการซื้อ ขาย เช่าให้เช่า ให้เช่าซื้อ ขายฝาาก จำนอง อสังหาริมทรัพย์ทุกชนิด,383 ซอยศูนย์วิจัย 4 (พระราม 9 ซอย 13 ) ถนนพระราม 9  แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310
664,0105558008473,บจ.กินถูก จำกัด,16/1/2558," 1,000,000 ",การขายสินค้าไม่ว่าอย่างใดๆอย่างเดียว หรือหลายอย่างก็ตาม คิดรวมทั้งสิ้นในวันหนึ่งวันใดขายได้เป็นเป็นเ,645/10 ซอยลาดพร้าว 112  แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310
665,0105558008562,บจ.มีเดีย อินสไปร์ จำกัด,16/1/2558," 1,000,000 ",เป็นนายหน้า ตัวแทน คนกลางในการจัดหา จัดจ้างและจัดซื้อสื่อโฆษณากลางแจ้งในร่มทุกประเภท รับจ้างทำป้าย,341 ซอยพิบูลย์อุปถัมภ์ ถนนสุทธิสาร  แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร 10310
666,0105558008597,บจ.แนเชอรัล ทิวา จำกัด,16/1/2558," 1,000,000 ",ประกอบกิจการ จำหน่ายเครื่องสำอาง สินค้าอุปโภค บริโภค,338 ซอยพุ่มอุไร  แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร 10310
667,0105558008961,บจ.อีทีอี กรีน เอนเนอร์จี จำกัด,16/1/2558," 1,000,000 ",ประกอบกิจกาารผลิตและจำหน่ายกระแสไฟฟ้าจากเซลล์แสงอาทิตย์ ทั้งภายในและภายนอกประเทศ,554/12 ซอยราามคำแหง 39 (เทพลีลา1)  แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพมหานคร 10310
668,0105558009909,บจ.เจ้าสัวใหม่ คอร์เปอเรชั่น จำกัด,19/1/2558," 1,000,000 ",ประกอบกิจการค้าข้าวโพดฝัก ข้าวโพดต้ม ข้าวโพดอบเนย รวมทั้งผลิตภัณฑ์ที่ทำจากข้าวโพด,187/23 ซอยลาดพร้าว 122 (มหาดไทย1) ถนนลาดพร้าว  แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310
669,0105558010753,บจ.จิคเกอร์ส จำกัด,20/1/2558," 1,000,000 ",ให้บริการและจัดเตรียมเครื่องมือในบาร์ สำหรับกิจการโรงแรม,240/37 อาคารอโยธยาทาวเวอร์ ชั้น 19 ถนนรัชดาภิเษก  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310
670,0105558010761,บจ.ลัท15 จำกัด,20/1/2558," 1,000,000 ",ประกอบกิจการเกี่ยวกับธุรกิจนำเข้าและส่งออกและการจัดการคอมพิวเตอร์ส่วนประกอบอิเล็กทรอนิกส์,240/37 ชั้น 19 อาคารอโยธยาทาวเวอร์ ถนนรัชดาภิเษก  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310
671,0105558011172,บจ.ยศสรัลการบัญชีและภาษีอากร จำกัด,21/1/2558," 1,000,000 ",ประกอบกิจการให้บริการทำบัญชี,525/53 ซอยลาดพร้าว 126 ถนนลาดพร้าว  แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310
672,0105558011598,บจ.ดิวาลี มีเดีย จำกัด,21/1/2558," 1,000,000 ",ประกอบกิจการด้านบันเทิงทุกประเภท ผลิตและเป็นแหล่งรวมอุตสาหกรรม,41/1 ซอยลาดพร้าว 64 แยก 4  แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพมหานคร 10310
673,0105558012047,บจ.บ้านครามธุรกิจก่อสร้าง จำกัด,21/1/2558," 1,000,000 ",ประกอบกิจการรับเหมาก่อสร้าง,271 ซอยหมู่บ้านอยู่เจริญ  แขวงคลองเจ้าคุณสิงห์ เขตวังทองหลาง กรุงเทพมหานคร 10310
674,0105558012195,บจ.แฮ๊ปปี้ทูเก็ทเทอร์ จำกัด,22/1/2558," 1,000,000 ",ผลิตสร้างสรรค์หรือประดิษฐ์สื่อหรือวัสดุอุปกรณ์ทุกชนิดเพื่อใช้ในการเผยแพร่ข้อมูลข่าวสารการโฆษณา,506/207 ซอยรามคำแหง 39 (เทพลีลา1)  แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพมหานคร 10310
675,0105558012641,บจ.สปาร์คลิ่ง ยู จำกัด,22/1/2558," 1,000,000 ",ประกอบกิจการขายเครื่องสำอางค์,55/7 ซอยลาดพร้าว 88 (อรพิน) ถนนลาดพร้าว  แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310
676,0105558012675,บจ.เอเอสเอ็ม เวนเจอร์ จำกัด,22/1/2558," 1,000,000 ",ประกอบกิจการค้า นำเข้า ซื้อมาขายไป สินค้าเครื่องบรรจุภัณฑ์,1213/538 ซอยลาดพร้าว 94 (ปัญจมิตร) ถนนลาดพร้าว  แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310
677,0105558012691,บจ.ยูทูโฮม บิวเดอร์ จำกัด,22/1/2558," 1,000,000 ",ประกอบกิจการรับเหมาออกแบบ รับปรึกษางานก่อสร้าง จ้างเหมาก่อสร้าง สถาปัตยกรรมและวิศวกรรม ตกแต่งอาคาร,86 ซอยลาดพร้าว 42 ถนนลาดพร้าว  แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร 10310
678,0105558012985,บจ.โฟร์ไนน์เทค จำกัด,22/1/2558," 1,000,000 ",ประกอบกิจการค้า วัสดุอุปกรณ์กำจัดฝุ่น วัสดุอุปกรณ์ต่างๆ ที่ใช้ในโรงงาน รวมทั้งอะไหล่ของสินค้า,1213/264 ซอยลาดพร้าว 94 (ปัญจมิตร)  แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310
679,0105558013299,บจ.นภาคราม จำกัด,23/1/2558," 1,000,000 ",การขายปลีกผลิตภัณฑ์งานฝีมือคนไทย และของที่ระลึก เช่น เครื่องเงิน งานหัตถกรรม กระเป๋า รองเท้า,408/2 ซอยลาดพร้าว 94 (ปัญจมิตร) ถนนศรีวรา  แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310
680,0105558013558,บจ.ทีม บิวดิ้ง เอเชีย จำกัด,23/1/2558," 1,000,000 ",การจัดการส่งเสริมและ/หรือการบริหารต่างๆที่จัดขึ้น เช่น การประชุมและการสัมมนา,118/266 ซอยรามคำแหง 43/1 (คุณหญิงเจือ)  แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310
681,0105558013922,บจ.ทีบีเอส โลจิสติกส์ แอนด์ เทรดดิ้ง จำกัด,23/1/2558," 1,000,000 ",ประกอบกิจการขนส่งและขนถ่ายสินค้าทางบก ทางน้ำ ทางอากาศ ทั้งภายในประเทศและต่างประเทศ,383 ถนนประชาราษฎร์บำเพ็ญ  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310
682,0105558014201,บจ.ไอเอ กรุ๊ป จำกัด,26/1/2558," 1,000,000 ",การจัดหาจำหน่ายให้เช่าติดตั้งและซ่อมบำรุงเครื่องคอมพิวเตอร์และอุปกรณ์คอมพิวเตอร์,653 ถนนประดิษฐ์มนูธรรม  แขวงสะพานสอง เขตวังทองหลาง กรุงเทพมหานคร 10310
683,0105558014236,บจ.สมาร์ท อินเทลลิเจนท์ จำกัด,26/1/2558," 1,000,000 ",ประกอบกิจการด้านการผลิต และจำหน่ายหนังสือ,2387 อาคารรวมทุนพัฒนา ชั้นที่ 3 ถนนเพชรบุรีตัดใหม่  แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310
684,0105558014481,บจ.เลดี้ ไทยคลับ จำกัด,26/1/2558," 1,000,000 ",ประกอบกิจการจำหน่ายผลิตภัณฑ์ลดน้ำหนัก ผลิตภัณฑ์เพื่อสุขภาพและความงาม,88/91 หมู่บ้านเนอร์วาน่า ซอยรามคำแหง 53 (จันทร์ศรีชวาลา)  แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310
685,0105558014601,บจ.แอคเซส แมชชีน โซลูชั่นส์ จำกัด,26/1/2558," 1,000,000 ",การนำเข้าและจำหน่ายเครื่องจักรที่ใช้ในอุตสาหกรรมการผลิตยาเครื่องสำอางอาหารเคมีภัณฑ์และพลาสติก,274 อาคารเอ 2 ชั้นที่ 1 ซอยศูนย์วิจัย 4 ถนนพระราม 9  แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310
686,0105558014619,บจ.แอคเซส เซอร์วิส มายด์ จำกัด,26/1/2558," 1,000,000 ",นำเข้าและจำหน่ายอุปกรณ์ชิ้นส่วนที่ใช้ในอุตสาหกรรมการผลิตยาเครื่องสำอางเคมีภัณฑ์พลาสติก,274 อาคารเอ 2 ชั้นที่ 1 ซอยศูนย์วิจัย 4 ถนนพระราม 9  แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310
687,0105558015011,บจ.ไซคีร่า จำกัด,26/1/2558," 1,000,000 ",ประกอบกิจการนำเข้าและส่งออกเครื่องสำอางอุปกรณ์เครื่องมือและเครื่องใช้เสริมความงาม,204/87 ซอยศูนย์วิจัย 14  แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310
688,0105558015348,บจ.แอทออลล์ โฮลดิ้ง จำกัด,27/1/2558," 1,000,000 ",ประกอบกิจการลงทุนในบริษัทอื่น,496 ซอยอยู่เจริญ 29  แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร 10310
689,0105558015399,บจ.อาร์มมี่ ริเวอร์ จำกัด,27/1/2558," 1,000,000 ",ประกอบกิจการค้า ผลิต จำหน่าย เป็นตัวแทนจำหน่าย เครื่องดื่มบำรุงกำลัง น้ำดื่ม น้ำชา กาแฟ,130 ซอยลาดพร้าว 73 (แหลมทอง) ถนนลาดพร้าว  แขวงคลองเจ้าคุณสิงห์ เขตวังทองหลาง กรุงเทพมหานคร 10310
690,0105558015542,บจ.วงศ์พัฒน์รวมสิน จำกัด,27/1/2558," 1,000,000 ",ประกอบกิจการผลิต ขายปลีก ขายส่ง ผลิตภัณฑ์เครื่องสำอาง ผลิตภัณฑ์เสริมความงาม,338/35 ซอยลาดพร้าว 80 (จันทิมา)  แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพมหานคร 10310
691,0105558016115,บจ.ออซั่ม อินเตอร์เนชั่นแนล จำกัด,28/1/2558," 1,000,000 ",จำหน่ายอาหารเสริม ผลิตภัณฑ์เสริมอาหาร วิตามินบำรุงร่างกาย สมุนไพรและเครื่องดื่ม,338/72 ซอยลาดพร้าว 80 (จันทิมา)  แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพมหานคร 10310
692,0105558016352,บจ.โอบีไอเอส จำกัด,28/1/2558," 1,000,000 ",ประกอบกิจการการค้าอุปกรณ์และ เครื่องมืออิเลคทรอนิคส์ รวมถึงอุปกรณ์เครื่องมือสื่อสารและโทรคมนาคม,192/65 ถนนรัชดาภิเษก  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310
693,0105558016476,บจ.ชาญเทค (ประเทศไทย) จำกัด,28/1/2558," 1,000,000 ",ประกอบกิจการให้บริการ และจำหน่าย เครื่องระบบทำความเย็น,98/98 ซอยรามคำแหง 39 (เทพลีลา 1) ถนนรามคำแหง  แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310
694,0105558016603,บจ.ทีโอ ลิฟวิ่ง จำกัด,28/1/2558," 1,000,000 ",ประกอบกิจการเป็นที่ปรึกษาด้านการวางแผนการดำเนินชีวิต,240/37 อาคารอโยธยาทาวเวอร์ ชั้นที่ 19 ถนนรัชดาภิเษก  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310
695,0105558016743,บจ.ชุมทอง 24 เค 204 จำกัด,28/1/2558," 1,000,000 ",การเป็นที่ปรึกษา ฝึกอบอรม รับจัดการธุรกิจเกี่ยวกับการบริหารการขาย และ การขยายตลาด พัฒนาคุณภาพบุคลากร,97/30 ถนนพระราม 9  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310
696,0105558016921,บจ.เอสไอเอซี เดเวล็อปเม้นท์ จำกัด,29/1/2558," 1,000,000 ",ประกอบกิจกรรมงานวิศวกรรมและการให้คำปรึกษาทางด้านเทคนิค ที่เกี่ยวข้อง,96/118 ถนนริมคลองบางกะปิ  แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310
697,0105558016981,บจ.ชูไท ออร์แกไนซ์เซอร์ จำกัด,29/1/2558," 1,000,000 ",ประกอบกิจการรับจ้างผลิตงานโฆษณา ออกแบบโฆษณา รวมทั้งเผยแพร่โฆษณาและประชาสัมพันธ์ทางสื่อสารมวลชน,440 ซอยลาดพร้าว 94 (ปัญจมิตร)  แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310
698,0105558017049,บจ.เอท อันลิมิเต็ด แมเนจเมนท์ จำกัด,29/1/2558," 1,000,000 ",จำหน่ายและควบคุมการผลิต อาหารเสริม เวชภัณฑ์ สปา และสินค้าเพื่อความงามทุกชนิด ทุกประเภท,184/17 อาคารฟอรั่ม ทาวเวอร์ ชั้นที่ 11 ถนนรัชดาภิเษก  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310
699,0105558017154,บจ.ทรอปิคอล ฟรุ๊ต ฟิวชั่น จำกัด,29/1/2558," 1,000,000 ",จำหน่าย นำเข้า ส่งออก ขนม ผลไม้ ผลิตภัณฑ์ที่มีส่วนผสมของผลไม้,18/4 ซอยอำนวยวัฒน์ ถนนสุทธิสารวินิจฉัย  แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร 10310
700,0105558017227,บจ.เอเชี่ยน อินเตอร์แลนด์ จำกัด,29/1/2558," 1,000,000 ",การรับเป็นที่ปรึกษา ให้คำแนะนำด้านบริหารงานเกี่ยวกับอสังหาริมทรัพย์ และที่ดิน,514/18 ซอยรามคำแหง39(เทพลีลา1)  แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพมหานคร 10310
701,0105558017561,บจ.ดิออส สตูดิโอ จำกัด,29/1/2558," 1,000,000 ",การให้บริการจัดทำ ออกแบบ เขียนโปรแกรม เว็บไซด์,4 ซอยลาดพร้าว 57 (สุดสว่าง) ถนนลาดพร้าว  แขวงสะพานสอง เขตวังทองหลาง กรุงเทพมหานคร 10310
702,0105558017669,บจ.แฟร์เพลย์ ออแกไนเซอร์แอนด์พับลิชชิ่ง จำกัด,29/1/2558," 1,000,000 ",ประกอบกิจการให้บริการทางด้านการโฆษณา,580/7 ซอยลาดพร้าว 87 (จันทราสุข)  แขวงคลองเจ้าคุณสิงห์ เขตวังทองหลาง กรุงเทพมหานคร 10310
703,0105558018282,บจ.อัลฟา เทคโนโลยี โซลูชั่น จำกัด,30/1/2558," 1,000,000 ",ประกอบกิจการบริการเขียนโปรแกรม และพัฒนาซอฟต์แวร์,50 ซอยรุ่งเรือง  แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร 10310
704,0105558018363,บจ.นามะ เฮ้าส์ จำกัด,30/1/2558," 1,000,000 ",การผลิตออกแบบชิ้นงานโฆษณาประชาสัมพันธ์ แผนสื่อโฆษณา ประชาสัมพันธ์,17/107 อาคารธาราเรือนเอก ชั้นที่ 6 หมู่บ้านธารารมณ์ ซอยรามคำแหง 43/1  แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310
705,0105558018371,บจ.บางกอก สมายล์ กรุ๊ป จำกัด,30/1/2558," 1,000,000 ",ประกอบกิจการให้บริการเช่า อาคารที่พักอาศัย ห้องเช่า อพาร์ทเม้น,20 ซอยลาดพร้าว 80 แยก 4  แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพมหานคร 10310
706,0105558018819,บจ.ทราเวล โฟร์ ยู จำกัด,30/1/2558," 1,000,000 ",ประกอบกิจการนำเที่ยว,491/1 ซอยส.ธรณินทร์ 4  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310
707,0105558018959,บจ.อีเอสโอแอล โฮลดิ้ง จำกัด,30/1/2558," 1,000,000 ",การติดตั้งส่วนประกอบอาคารและการตกแต่งภายใน,573 อาคารซี.เอ็ม.ซี.แมนชั่น ห้องเลขที่ 109 ชั้นที่ 1 ซอยยอดทอง ถนนประชาอุทิศ  แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร 10310
708,0105558018991,บจ.ประเสริฐ ทีม จำกัด,30/1/2558," 1,000,000 ",ประกอบกิจการ งานอีเว้น จัดแสดงสินค้า และเวทีแสดง ฉาก แสงสี เสียง งานโชว์ ทั้งในและนอกสถานที่,202/6 ซอยลาดพร้าว 80 แยก 14  แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพมหานคร 10310
709,0105558019131,บจ.แทนเทสท์ ฟู้ด จำกัด,30/1/2558," 1,000,000 ",ประกอบกิจการจำหน่ายผลิตภัณฑ์อาหารสำเร็จรูป อาหารกระป๋อง อาหารแห้ง สินค้าอุปโภค ทุกชนิด,98 ซอยสบายใจ ถนนสุทธิสารวินิจฉัย  แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร 10310
710,0105558019297,บจ.เจ ที ดีไซน์ จำกัด,30/1/2558," 1,000,000 ",ประกอบกิจการด้านอุตสาหกรรมออกแบบ ติดตั้งระบบอื่น ๆ,149 ซอยเพ็ญและเพื่อน ถนนดินแดง  แขวงดินแดง เขตห้วยขวาง กรุงเทพมหานคร 10320
711,0103558002571,หจ.พริ้นท์ โซไซตี้,30/1/2558," 1,000,000 ",ประกอบกิจการบริการรับพิมพ์สื่อสิ่งพิมพ์ สติกเกอร์ รวมถึงป้ายโฆษณา,29/21 ตรอกวัดสามง่าม ถนนพระรามที่ 1  แขวงรองเมือง เขตปทุมวัน กรุงเทพมหานคร 10330
712,0105558001959,บจ.บ้านสบาย มาสสาจ แอนด์ สปา จำกัด,7/1/2558," 1,000,000 ",ประกอบกิจการให้บริการสปาเพื่อสุขภาพ นวดแผนไทย นวดน้ำมัน นวดอโรมา และนวดเพื่อสุขภาพทุกชนิด,"496,498,500,502 อาคารอัมรินทร์พลาซ่า ชั้นที่ 18 ถนนเพลินจิต  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330"
713,0105558003129,บจ.แคชเมียร์แกลเลอรี่ผ้าไหม จำกัด,8/1/2558," 1,000,000 ",ประกอบกิจการค้า ผ้า ผ้าทอจากใยสังเคราะห์ ด้าย ด้ายยางยืด เส้นใยไนล่อน,444 อาคารเอ็ม บี เค เซ็นเตอร์ ชั้น 6 (PLAF06-A027000) ถนนพญาไท  แขวงวังใหม่ เขตปทุมวัน กรุงเทพมหานคร 10330
714,0105558003331,บจ.มาธาร่า (ประเทศไทย) จำกัด,9/1/2558," 1,000,000 ",ผลิตเครื่องประดับอัญมณี เครื่องประดับเพชรพลอย และสิ่งของที่เกี่ยวข้อง,496-502 อาคารอัมรินทร์พลาซ่า ชั้นที่ 18 ถนนเพลินจิต  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330
715,0105558004371,บจ.แจสส์ เอสเตท จำกัด,9/1/2558," 1,000,000 ",ตัวแทนนายหน้า รับติดต่อ ซื้อ ขาย แลกเปลี่ยน จำนอง ให้เช่า และให้คำปรึกษาด้านธุรกิจอสังหาริมทรัพย์,6/342 ซอยมหาดเล็กหลวง 2  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330
716,0105558004656,บจ.สยามซิตี้ ลิสซิ่ง - แฟ็กเตอริง จำกัด,9/1/2558," 1,000,000 ",ประกอบกิจการสัญญาเช่าดำเนินงานแฟคตอริ่ง สัญญาเช่าทางการเงินสำหรับสินค้าอุปโภค,9/353 ซอยสมคิด  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330
717,0105558005245,บจ.แมดิสัน เฮ้าส์ จำกัด,12/1/2558," 1,000,000 ",ประกอบกิจการสถาบันสอนภาษาอังกฤษ และภาษาอื่นๆ,183 อาคารรีเจ้นท์ เฮ้าส์ ชั้น 15 ถนนราชดำริ  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330
718,0105558005318,บจ.ซิตี้แอดวานซ์ ลิซซิ่ง จำกัด,12/1/2558," 1,000,000 ",ประกอบกิจการเช่าซื้อรถยนต์ สัญญาเช่าทางการเงินสำหรับยานยนต์,9/353 ซอยสมคิด  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330
719,0105558005326,บจ.อตสาหกรรมไหมไทย จำกัด,12/1/2558," 1,000,000 ",การขายผ้าไหมและผลิตภัณฑ์ที่ทำจากผ้าไหมและจากเส้นใยธรรมชาติ,9/353 ซอยสมคิด  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330
720,0105558005334,บจ.อุตสาหกรรมผ้าไหมไทย จำกัด,12/1/2558," 1,000,000 ",การขายผ้าไหมและผลิตภัณฑ์ที่ทำจากผ้าไหมและจากเส้นใยธรรมชาติ,9/353 ซอยสมคิด  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330
721,0105558005342,บจ.จิม ทอมป์สัน ( อุตสาหกรรมไหมไทย ) จำกัด,12/1/2558," 1,000,000 ",ขายผ้าไหมและผลิตภัณฑ์ที่ทำจากผ้าไหมและจากเส้นใยธรรมชาติ,9/353 ซอยสมคิด  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330
722,0105558005423,บจ.ขุดคลองแล คูนาสยาม จำกัด,12/1/2558," 1,000,000 ",ประกอบกิจการทำเหมืองสินแร่โลหะนอกกลุ่มสินแร่เหล็กอื่นๆ,9/353 ซอยสมคิด  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330
723,0105558005431,บจ.จิม ทอมป์สัน จำกัด,12/1/2558," 1,000,000 ",การขายผ้าไหมและผลิตภัณฑ์ที่ทำจากผ้าไหมและจากเส้นใยธรรมชาติ,9/353 ซอยสมคิด  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330
